Name,Name2,Team,Season,Minutes,Primary Position,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV,Image key
Hindra Pérez,Hindra Pérez,Puebla W,2023/2024,22,Central,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,6.84,12.27,16.01,12.27,8.18,0.25,4.09,12.25,0,0,0,4.09,0,0,6.84,4.09,0,0,0,0,4.09,8.18,4.66,0,0,0,6.3,0,0,0,0,0,0,0,12.27,100,0,0,0,12.27,0,0,0,0,22.71,0,0,0,12.27,100,3.27,0,0,0,0,0,0,0,0,0,0,0,0,33,67,0,0,0,0,24.32,0,1,0,0,24.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,0,0,0.03,0,0.25,0,0,0.28,
Ianne Scarleth López Roque,Ianne Scarleth López Roque,Querétaro W,2023/2024,380,Central,0,0,0.02,0.07,0.24,0,0,0,0,0,0,0.1,1.42,0,0.07,0.95,0,0.03,0.47,0,0.11,1.66,-0.11,0,0,0,0,0.71,0,0,0,1.66,1.9,3.55,3.8,11.37,5.45,0.03,4.27,32.73,1.9,11.85,0.95,2.61,44,0.93,2.83,0.24,29,1.18,63,1.18,0,10.19,9.81,2.61,0.95,0,35.82,1.9,19,0.24,25,0,0,0,27.49,67,4.74,81,50,4.74,8.29,16,62,-5,37.21,3.32,0.12,0.19,18.25,100,4.08,2.61,1.42,0.71,0.71,0,0.71,1.42,0.47,17,0.24,100,0,42,54,4,55,45,0,27.7,20.61,0.93,97,-7.09,25.68,20.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,3.48,18,0.09,0.03,0.05,-0.02,0,0.14,
Janelly Farias Rodríguez,Janelly Farias Rodríguez,Pachuca W,2023/2024,1260,Central,0,0,0.07,0.13,0.57,0,13,0,0,0.01,0,0.01,0.21,0,0.01,0.21,0,0,0,0,0.08,0.79,-0.08,0.64,0.21,0.43,33,0.79,0,0.36,0.79,1.07,1.33,4.14,5.34,12,5.57,0.03,6.43,28.54,0.93,10.71,1.36,2.43,68,1.75,3.08,0.57,53,0.64,51,1.36,0.29,10.07,12.8,3.36,2,0.43,33.53,2.07,21,1,50,0.14,0,0,39.42,87,4.14,29,64,4.78,5.78,14,76,-10,31.22,2,0.73,0.74,30.7,97,5.43,2,0,0,0,0.14,1.57,1.57,0.07,0,0,0,0.21,27,69,4,39,57,4,23.03,20.21,0.96,94,-2.83,22.11,19.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,4.23,21,0.03,0.05,0.03,-0.04,0,0.08,
Jazmín Enrigue Abundis,Jazmín Enrigue Abundis,Querétaro W,2023/2024,3220,Central,0.14,0.14,0.11,0.09,1.2,12,30,1,0,0.06,0.03,0.03,0.31,0.03,0.03,0.28,0,0,0.03,0.17,0.13,1.51,0.04,0.78,0.53,0.25,68,0.98,0,0.39,0.81,1.79,1.12,6.15,3.94,14.64,6.99,0.06,5.92,27.36,2.71,11.93,1.76,3.55,66,1.3,2.42,0.73,40,0.92,71,2.57,0.06,12.18,8.02,3.13,1.48,0.22,32.52,2.71,22,0.81,55,0.17,0.03,0,24.9,65,2.79,19,42,7.07,5.67,18,58,-7,35.45,1.96,0.26,0.31,17.97,94,4.9,2.1,0.25,0.11,0.14,0.17,2.49,2.6,0.03,0,0,0,0.22,45,52,4,43,55,3,25.34,21.14,0.92,97,-4.2,23.31,20.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,13,2.26,15,0.05,0.04,0.1,-0.05,0,0.13,
Jillian Khaterine,Jillian Khaterine,Pachuca W,2023/2024,386,Central,0,0,0.16,0.08,1.86,0,13,0,0,0.06,0,0.02,0.47,0,0.02,0.47,0,0,0,0,0.18,2.33,-0.18,0.23,0,0.23,0,0.93,0,0.47,0.47,1.63,1.93,5.13,6,13.98,6.53,0.06,6.29,28.9,3.5,14.68,0.7,2.33,38,0.93,2.86,0.93,17,1.17,65,3.5,0.23,12.35,15.36,4.19,2.1,0.23,32.77,3.03,25,0.93,44,0.23,0,0,42.88,79,3.26,61,45,6.06,6.29,17,63,-16,37.79,2.8,0.61,0.69,33.09,96,5.83,3.03,0.7,0.7,0,0,3.73,4.43,0,0,0,0,0,38,55,6,62,38,0,24.98,23.77,0.92,105,-1.21,23.04,24.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,4.38,25,0.12,0.05,-0.09,-0.16,0,-0.09,
Julissa Dávila,Julissa Dávila,Atlético San Luis W,2023/2024,2949,Central,0.09,0.09,0.07,0.16,0.43,21,50,0,0,0.08,0,0.01,0.18,0,0,0.12,0,0,0.06,0.09,0.08,0.61,0.01,0.34,0.18,0.15,55,0.79,0,0.52,0.58,1.74,1.53,5.68,4.92,14.28,6.59,0.05,5.07,27.87,1.8,9.95,1.89,3.63,69,1.82,3.35,1.07,50,0.85,63,1.43,0.09,11.35,10.62,2.69,1.77,0.21,32.32,2.11,19,0.4,22,0.4,0,0,31.86,71,3.11,23,38,6.35,7.51,13,69,-2,34.01,2.14,0.19,0.23,24.51,96,4.4,2.01,0.24,0.09,0.15,0.03,0.85,0.95,0,38,0.09,38,0.03,41,54,4,52,45,3,24.56,19.59,0.87,102,-4.97,21.35,19.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,2.08,16,0.05,0.04,0.04,0.03,0,0.15,https://drive.google.com/uc?id=1hvm71tQdsCRw38QjRJrzwdzHJP8wD8u3
Julitha Singano,Julitha Singano,Juárez W,2023/2024,2015,Central,0.04,0.04,0.03,0.08,0.45,10,10,0,0,0.02,0,0.01,0.22,0,0.01,0.22,0,0,0,0.04,0.04,0.67,0,0.8,0.67,0.13,83,0.8,0,0.45,0.49,2.28,1.86,7.15,5.91,11.39,4.96,0.05,5.49,25.73,1.52,10.45,1.16,3.44,74,0.9,2.76,0.98,47,0.4,79,2.01,0,9.25,7.66,2.37,1.38,0.27,31.7,1.47,16,0.36,26,0.27,0.04,0.09,29.57,77,2.64,30,48,7.64,5.05,14,71,-7,33.05,1.43,0.23,0.25,23.01,96,6.37,1.79,0,0,0,0,0.8,0.8,0,0,0,0,0,33,64,3,35,63,3,23.33,17.86,0.92,101,-5.47,21.48,18.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,1.55,10,0.02,0.04,0.03,-0.04,0,0.06,
Karen Alejandra Díaz Sánchez,Karen Alejandra Díaz Sánchez,León W,2023/2024,277,Central,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0.33,0,0.33,0,0.33,0.33,2.28,1.76,4.56,3.81,17.25,8.79,0.09,6.84,30.38,0.65,9.44,2.28,4.56,70,2.14,3.9,0.98,67,0.98,33,0.65,0,14,12,3.91,0.98,0,35.26,3.25,23,0.65,67,0,0,0,35.15,68,0.65,37,22,4.88,2.6,20,68,1,34.57,0.65,0.48,0.48,26.36,99,5.94,1.3,0,0,0,0,0,0,0,0,0,0,0,41,57,3,50,50,0,19.36,15.49,0.95,98,-3.87,18.43,15.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,3.74,27,0.04,0.07,0.05,0,0,0.15,
Karen Cano,Karen Cano,Atlético San Luis W,2023/2024,3144,Central,0.03,0.03,0.04,0.09,0.4,7,43,0,0,0.04,0,0.02,0.09,0,0.01,0.06,0,0,0.03,0.03,0.05,0.49,-0.02,0.34,0.14,0.2,42,0.2,0,0.23,0.6,1.35,1.23,4.35,3.76,14.63,5.44,0.06,5.52,26.69,0.92,6.93,1.26,2.61,65,1.32,2.55,0.77,48,0.69,54,1.2,0.14,12.62,11.76,3.38,2.23,0.37,31.41,2.26,18,0.97,44,0.11,0,0,22.73,76,1.35,19,41,4.69,2.92,14,58,-18,29.85,0.54,0.16,0.17,17.43,96,4.52,0.57,0.06,0.06,0,0,1.03,1.09,0.06,0,0,0,0.03,36,62,2,50,50,0,21.74,18.96,0.93,96,-2.79,20.17,18.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,0.91,7,0.01,0.03,0.09,0,0,0.13,https://drive.google.com/uc?id=1_ChsEhJW9JA-ppUEM7TUeqqGJ-TmwPkB
Karen De León,Karen De León,Necaxa W,2023/2024,1714,Central,0.05,0.05,0.01,0.05,0.32,17,33,0,0,0.02,0,0,0,0,0,0,0,0,0,0.05,0.01,0.32,0.04,0.37,0.21,0.16,57,0.53,0,0.11,0.63,0.95,0.61,3.57,2.29,13.18,6.09,0.04,5.15,26.31,1.31,10.45,1.31,2.26,71,0.9,1.51,1.1,44,0.53,31,0.53,0,10.82,7.86,3.1,2.26,0.32,30.87,1.63,15,0.63,28,0.47,0,0,23.42,68,2.26,13,44,4.15,4.52,20,67,-1,33.52,1.84,0.11,0.11,17.59,97,5.71,1.58,0.05,0.05,0,0,0.32,0.37,0.05,0,0,0,0.05,52,46,2,67,33,0,22.81,18.54,0.91,85,-4.27,20.67,15.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,2.32,21,0.03,0.05,0.09,0,0,0.18,https://drive.google.com/uc?id=1738YFPwaAfnNex8tg3XNWEpt-oaakenL
Karen Gómez,Karen Gómez,León W,2023/2024,243,Central,0,0,0.01,0.02,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.37,-0.01,0,0,0,0,0,0,0,0.74,0.74,0.91,4.45,4.44,18.53,5.19,0.05,6.3,28.35,2.59,11.49,2.22,2.97,75,2.92,3.83,1.85,60,0.74,75,1.11,0,14.46,16.84,2.97,2.59,0.37,33.16,2.59,18,1.48,57,0,0,0,34.1,82,2.22,16,46,4.82,4.45,10,50,-32,34.89,2.59,0.45,0.45,22.61,97,5.85,2.59,0.37,0.37,0,0,0,0.37,0,100,0.37,50,0,38,59,3,43,57,0,24.24,26.01,0.92,82,1.77,22.18,21.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,3.71,19,0.1,0.05,0.01,-0.01,0,0.15,
Karina Anais Rodríguez,Karina Anais Rodríguez,América W,2023/2024,3375,Central,0.03,0.03,0.04,0.09,0.4,7,13,0,0,0.02,0.03,0.03,0.4,0.03,0.03,0.4,0,0,0,0.05,0.06,0.8,-0.01,0.37,0.29,0.08,79,0.88,0,0.37,0.29,0.8,1.08,3.04,4.2,10.03,4.08,0.06,4.64,31.58,3.12,11.2,0.96,1.76,75,1.36,2.44,0.59,45,0.32,70,1.28,0,8.51,11.54,2.8,1.57,0.21,37.06,2.61,31,0.8,51,0,0,0,51.17,87,5.47,6,67,3.87,7.28,9,75,-12,39.01,5.79,0.72,0.74,42.21,99,4.43,7.23,0.37,0.37,0,0.11,0.85,1.23,0,21,0.11,40,0.13,33,65,2,51,48,0,23.33,22.34,0.96,92,-0.99,22.37,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,5.27,23,0.13,0.08,0.03,-0.03,0,0.21,
Karla Lorena Martínez Díaz,Karla Lorena Martínez Díaz,Guadalajara W,2023/2024,3034,Central,0.03,0.03,0.03,0.18,0.18,17,50,0,0,0.03,0,0.03,0.3,0,0.02,0.27,0,0,0.03,0.03,0.06,0.47,-0.03,0.36,0.21,0.15,58,0.3,0,0.36,0.5,1.93,2.16,5.4,6.18,19.4,8.1,0.05,6.58,28.07,1.93,12.01,2.7,4.63,71,3.29,5.46,0.77,44,1.13,65,1.93,0.12,15.93,18.62,4.18,3.26,0.62,30.68,2.43,15,1.19,36,0.18,0,0,39.48,77,3.68,10,58,6.17,5.58,13,67,-11,34.45,2.58,0.34,0.36,29.33,97,5.4,2.58,0.74,0.3,0.44,0.06,0.47,0.77,0,8,0.12,21,0.06,35,62,3,46,48,6,23.36,20.02,0.97,100,-3.33,22.58,19.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,3.26,17,0.12,0.07,0.02,0,0,0.22,
Adriana Calzadillas,Adriana Calzadillas,Puebla W,2023/2024,486,Lateral,0,0,0,0.01,0.19,0,100,0,0,0.02,0,0.02,0.19,0,0.02,0.19,0,0,0,0,0.02,0.37,-0.02,2.41,1.85,0.56,77,1.85,0,1.11,1.85,1.85,1.67,3.89,3.38,25.36,10.92,0,6.11,30.23,2.41,7.59,3.52,5.37,61,3.07,4.74,1.85,33,2.22,33,0.19,0,19.99,17.34,3.89,2.78,0.56,31.26,4.07,20,0.93,33,0.37,0,0,28.88,72,0.56,9,33,3.89,1.67,16,69,-4,39.46,1.3,0.1,0.1,29.62,90,2.98,1.3,0.37,0.37,0,0,0,0.37,0.19,50,0.19,17,0,40,53,7,29,71,0,16.5,10.65,0.91,112,-5.85,15.01,11.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,18,2.42,24,0.07,0.05,0,0.01,0,0.13,
Alejandra Calderón,Alejandra Calderón,Monterrey W,2023/2024,3535,Lateral,0,0,0,0.03,0.15,0,33,0,0,0,0,0.04,0.43,0,0.04,0.41,0,0,0.03,0,0.05,0.59,-0.05,1.58,0.99,0.59,63,0.97,0,1.02,1.55,2.44,3.19,1.88,2.52,18.28,7.77,0.02,5.83,40.01,4.51,12.5,2.24,4.68,77,2.91,6.11,0.79,55,0.69,55,0.87,0.05,15.28,18.78,3.77,3.51,0.53,42.36,5.98,39,2.11,60,0.15,0,0,40.61,77,1.35,13,48,2.11,2.6,11,71,-6,49.86,5.91,0.51,0.53,35.03,93,5.75,8.86,1.22,0.97,0.25,0.08,0.38,1.35,0.1,31,0.46,32,0.13,34,61,6,36,58,5,17.61,14.16,0.95,100,-3.44,16.72,14.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,16,5.16,28,0.18,0.09,0,0,0,0.27,
Alejandra Franco Gómez,Alejandra Franco Gómez,Atlas W,2023/2024,1548,Lateral,0,0,0,0.01,0.17,0,33,0,0,0,0,0.03,0.52,0,0.03,0.52,0,0,0,0,0.03,0.7,-0.03,1.63,0.93,0.7,57,1.05,0,1.63,1.69,2.44,2.19,2.91,2.28,27.96,14.76,0.04,6.34,39.33,4.13,10.69,5.06,7.5,70,4.21,6.41,1.69,51,2.21,55,0.93,0,21.21,17.36,4.36,4.36,0.41,41.67,8.08,38,3.08,71,0.12,0.06,0,29.64,66,1.51,32,31,3.55,4.24,12,59,-7,51.25,4.71,0.2,0.22,25.57,88,4.68,5.81,0.76,0.58,0.17,0.06,0.06,0.64,0,62,0.46,42,0.06,47,48,5,39,52,9,20.18,18.05,0.89,105,-2.13,17.94,19.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,18,3.24,19,0.17,0.05,-0.01,-0.01,0,0.2,
Alexandra Guadalupe Godínez García,Alexandra Guadalupe Godínez García,Pachuca W,2023/2024,2757,Lateral,0,0,0.02,0.07,0.26,0,25,0,0,0,0.07,0.05,0.85,0.07,0.05,0.82,0,0,0.03,0.07,0.07,1.11,0,1.34,0.69,0.65,51,0.46,0,1.4,2.09,2.02,2.44,1.73,2.24,25,10.22,0.02,6.2,40.27,3.66,9.73,3.79,5.81,79,4.58,7.03,1.21,58,0.98,46,0.59,0.03,20.01,24.94,4.34,3.66,0.26,42.64,7.83,39,2.35,64,0.16,0,0,30.81,77,0.72,19,37,2.02,1.63,16,62,-15,50.9,4.8,0.4,0.44,26.73,89,4.91,6.72,0.72,0.62,0.1,0.23,1.14,1.76,0.1,50,0.42,35,0.26,33,61,6,28,65,8,16.2,14.5,0.96,102,-1.69,15.58,14.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,4.88,24,0.12,0.06,0,-0.01,0,0.17,
Alexxandra Ramírez Flores,Alexxandra Ramírez Flores,Santos Laguna W,2023/2024,3093,Lateral,0.09,0.09,0.05,0.03,1.37,6,43,2,0,0.02,0.09,0.09,1.34,0.06,0.04,0.55,0.03,0.05,0.79,0.17,0.14,2.71,0.04,1.37,0.67,0.7,49,0.73,0,1.02,1.98,1.48,0.76,3.26,1.88,15.89,7.01,0.02,3.55,36.83,3.7,8.53,1.92,3.4,67,0.96,1.73,0.81,42,0.96,58,1.16,0.03,13.15,7.18,2.3,2.3,0.26,42.75,5.01,38,1.4,61,0.09,0,0,24.18,62,1.92,4,36,3.52,5.09,18,66,4,52.92,3.03,0.12,0.17,21.45,88,4.97,4.86,1.78,0.41,1.37,0.03,1.11,1.51,0.12,13,0.26,23,0.03,37,55,8,34,56,11,20.82,14.43,0.87,98,-6.39,18.22,14.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,15,3.71,36,0.14,0.04,0,-0.06,0,0.13,
Amalia González,Amalia González,Atlético San Luis W,2023/2024,399,Lateral,0,0,0.02,0.07,0.23,0,0,0,0,0,0,0,0.23,0,0,0.23,0,0,0,0,0.02,0.45,-0.02,1.58,1.58,0,100,0.9,0,1.13,0.45,1.35,1.31,3.61,3.18,20.77,9.71,0.02,7.9,31.13,1.81,7,2.93,4.29,65,2.44,3.74,0.23,30,1.58,56,1.13,0,17.61,14.77,5.42,3.61,0.45,32.56,4.06,23,2.26,63,0.23,0,0,23.48,74,0.68,19,33,3.84,1.81,10,67,-7,43.38,3.61,0.05,0.05,22.8,93,4.28,2.03,0.45,0,0.45,0,0.23,0.23,0.23,0,0,0,0,41,54,6,56,44,0,18.87,18.48,0.9,75,-0.39,16.94,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,22,2.35,16,0.09,0.04,-0.01,-0.02,0,0.1,https://drive.google.com/uc?id=1nGl1cp5sfSW8QeWC8Q_ePhUkjAciXbkg
Andrea Balderas,Andrea Balderas,Mazatlán W,2023/2024,1292,Lateral,0,0,0,0.01,0.07,0,0,0,0,0,0.07,0.01,0.28,0.07,0.01,0.21,0,0,0.07,0.07,0.01,0.35,0.06,0.56,0.28,0.28,50,0.42,0,0.77,1.39,0.7,0.39,3.07,1.94,20.7,11.01,0.02,3.48,33.22,2.37,7.11,1.95,2.65,62,0.98,1.38,1.11,35,1.18,50,0.56,0,17.63,9.09,2.23,3.14,0.21,35.86,4.53,26,1.74,56,0.14,0,0,17.14,64,0.77,22,30,3.14,2.51,16,53,-11,47.7,2.51,0.06,0.07,14.63,87,3.85,2.09,0.28,0.28,0,0,0.07,0.35,0.07,25,0.14,33,0,37,59,4,30,70,0,17.66,12.59,0.89,109,-5.08,15.8,13.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,23,1.85,23,0.07,0.03,-0.04,0,0,0.06,
Angelique Montserrat Saldivar Pavón,Angelique Montserrat Saldivar Pavón,América W,2023/2024,1349,Lateral,0.13,0.13,0.06,0.05,1.2,11,39,1,0,0.08,0.27,0.11,0.87,0.27,0.11,0.87,0,0,0,0.4,0.17,2.07,0.23,4.07,2.27,1.8,56,0.53,0,2.8,4.27,1.8,2.74,1.07,1.62,21.61,9.54,0.01,6.47,47.65,6.34,10.07,3.27,5.07,75,4.88,7.63,0.73,56,1.07,47,0.47,0.07,17.74,26.23,4.87,3.67,0.6,48.71,9.01,51,2.53,69,0,0,0,38.02,77,0.73,95,50,1.47,1.07,15,71,-6,59.05,7.2,0.75,0.78,42.63,85,6.67,13.81,1.4,1.33,0.07,0.6,2.27,3.6,0,52,1.13,34,0.8,23,66,11,22,62,16,15.76,15.04,0.98,96,-0.72,15.41,14.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,15,7.74,30,0.22,0.17,-0.02,0,0,0.37,
Angélica Araceli Torres Muñoz,Angélica Araceli Torres Muñoz,Guadalajara W,2023/2024,3421,Lateral,0,0,0.01,0.03,0.32,0,8,0,0,0,0.05,0.03,0.42,0.05,0.03,0.34,0,0.01,0.08,0.05,0.04,0.74,0.01,1.47,0.76,0.71,52,0.58,0,0.95,1.76,1.53,1.62,3.24,3.68,18.57,7.79,0.03,5.52,35.37,3.37,10.73,2.74,4.26,79,3.24,4.86,0.74,61,0.74,45,0.84,0.03,15.15,17.61,3.84,2.76,0.32,38.11,4.55,30,1.66,60,0.13,0,0,34.49,76,1.82,19,51,3.84,2.97,14,64,-12,46.81,4.92,0.4,0.42,29.99,91,5.67,6.08,0.87,0.66,0.21,0.03,0.24,0.89,0.05,42,0.39,35,0.03,35,59,6,39,54,7,18.61,17.6,0.97,104,-1.01,18,18.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,4,22,0.13,0.07,0.04,-0.01,0,0.23,
Anika Rodriguez,Anika Rodriguez,Tigres UANL W,2023/2024,2536,Lateral,0.07,0.07,0.04,0.04,0.96,7,30,1,0,0.02,0.11,0.1,1.31,0.04,0.08,0.89,0.07,0.02,0.43,0.18,0.14,2.27,0.03,1.81,0.99,0.82,55,1.1,0,1.1,1.74,2.77,3.81,3.05,3.69,19.81,9.19,0.02,6.07,37.4,4.76,11.82,3.62,6.39,77,4.81,8.63,1.17,58,1.06,54,0.71,0.04,15.08,19.42,3.62,3.58,0.46,40.88,5.86,39,2.59,72,0.14,0,0,39.43,67,5.04,9,50,3.94,9.16,12,57,-10,49.39,6.21,0.52,0.59,35.1,93,5.72,8.23,2.06,1.24,0.82,0.04,0.89,2.13,0.39,33,0.71,31,0.11,39,57,4,44,49,7,23.34,18.36,0.93,99,-4.97,21.7,18.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,13,6.76,35,0.24,0.1,0.08,-0.03,0,0.38,
Athalie Palomo,Athalie Palomo,Tigres UANL W,2023/2024,70,Lateral,0,0,0,0,0,0,0,0,0,0,1.28,0.67,1.28,1.28,0.67,1.28,0,0,0,1.28,0.67,1.28,0.61,0,0,0,0,2.57,0,1.28,0,1.28,1.39,3.85,4.55,19.26,6.42,0,5.14,38.84,6.42,12.84,1.28,2.57,100,1.77,3.16,3.85,0,0,75,3.85,0,14.13,17.97,5.14,1.28,0,40.24,2.57,18,0,0,0,0,0,30.82,66,1.28,77,25,3.85,5.14,6,100,34,60.7,5.14,0.84,0.84,25.68,95,6.3,11.56,1.28,1.28,0,1.28,1.28,2.57,0,0,1.28,100,1.28,43,46,11,11,67,22,19.4,13.15,0.78,100,-6.26,15.11,13.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,17,4.49,19,0.33,0.15,-0.03,0,0,0.44,
B.Murillo,B.Murillo,Puebla W,2023/2024,422,Lateral,0,0,0.01,0.01,0.64,0,33,0,0,0,0,0.05,0.43,0,0.05,0.43,0,0,0,0,0.06,1.07,-0.06,0,0,0,0,0.21,0,0.21,2.13,1.28,1.68,2.98,3.93,15.35,6.18,0.02,5.33,29.73,3.41,8.31,3.62,4.9,74,4.94,6.61,0.64,58,1.28,40,0.43,0,11.08,15.73,3.41,2.13,0.43,33.5,2.77,25,1.49,70,0,0,0,37.73,71,3.2,89,39,3.62,7.46,9,83,13,45.22,4.05,0.63,0.67,31.55,93,5.82,4.05,1.28,1.07,0.21,0,0.21,1.28,0.43,17,0.21,14,0,29,65,6,42,53,5,22.16,21.52,0.87,95,-0.64,19.34,20.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,6.1,35,0.08,0.05,0.1,-0.02,0,0.21,
Bianca Elissa Sierra Garcia,Bianca Elissa Sierra Garcia,Tigres UANL W,2023/2024,11,Lateral,0,0,0.06,0.01,8.22,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.06,8.22,-0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22,8.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.75,100,0,11,0,0,0,0,0,0,59.44,24.66,0.59,0.59,65.75,100,1.91,49.32,0,0,0,0,0,0,0,0,0,0,0,20,70,10,33,50,17,17.07,0,1,0,0,17.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,16.44,39,0.22,0.04,0,-0.24,0,0.02,
Bibiana Guadalupe Quintos Galván - Pumas UNAM,Bibiana Guadalupe Quintos Galván,Pumas UNAM W,2023/2024,1072,Lateral,0,0,0,0.01,0.08,0,0,0,0,0,0.08,0.04,0.59,0,0.03,0.42,0.08,0.01,0.17,0.08,0.04,0.67,0.05,0.17,0.17,0,100,0.67,0,0.34,0.92,1.26,0.85,2.69,2.34,16.96,8.65,0.02,4.53,35.61,2.6,10.58,2.52,3.78,68,2.04,2.89,1.18,61,1.18,14,0.08,0.08,13.26,11.39,2.52,2.77,0.5,37.35,3.78,28,1.43,52,0.34,0,0,27.95,71,1.34,27,37,3.19,3.11,10,49,-23,47.44,4.03,0.22,0.24,20.57,95,3.62,4.45,0.59,0.5,0.08,0,0.08,0.59,0,57,0.5,38,0,41,53,6,40,53,8,18.7,17.49,0.91,90,-1.21,17.09,15.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,20,4.42,25,0.14,0.06,0.03,0,0,0.22,
Bibiana Guadalupe Quintos Galván - Tijuana,Bibiana Guadalupe Quintos Galván,Tijuana W,2023/2024,1273,Lateral,0,0,0,0,0.07,0,100,0,0,0,0,0.02,0.35,0,0.01,0.28,0,0,0.07,0,0.02,0.42,-0.02,0,0,0,0,0.49,0,0.64,0.14,1.77,1.49,3.32,2.93,20.29,8.55,0.02,5.37,32.13,3.04,9.33,3.46,5.23,71,2.97,4.46,0.92,57,1.41,30,0.21,0,15.97,14.53,3.82,2.69,0.35,34.27,3.89,24,1.27,47,0.14,0,0,31.31,72,1.41,42,41,3.46,3.32,12,57,-15,47.23,4.1,0.25,0.27,24.17,97,3.79,4.67,0.64,0.57,0.07,0,0,0.57,0,33,0.28,50,0,46,48,6,38,58,5,18.83,15.89,0.94,101,-2.94,17.62,16.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16,2.74,16,0.13,0.04,0.05,0,0,0.21,
